"Image Id","Image Filename","Image Date Uploaded","Image Date Taken","Image Local Time","Image Width","Image Height","Image Longitude","Image Latitude","Image Tags","Issue Id","Issue Date","Issue Resolved","Issue Severity","Issue Severity Level","Issue Longitude","Issue Latitude","Issue Type Id","Issue Type Name","Issue Type Attribute Key","Issue Type Attribute Value","Issue Component Id","Issue Component Name","Issue Geometry Id","Issue Geometry Date","Issue Geometry","Issue Probability","Issue Width","Issue Height","Issue Temp Min","Issue Temp Max","Issue Temp Avg","Issue Temp Delta","Issue User Id","Issue User","Issue Field Id","Issue Field Date","Issue Field Type","Issue Field","Asset Id","Asset Name","Asset External Id","Scopito Link","Google Maps Link"
25669759,"DJI_20260210113428_0049_T.JPG","2026-02-23T18:13:13.000Z","2026-02-10T14:34:28.000Z","2026:02:10 11:34:28",640,512,-42.14979708,-11.41900769,"SES33/IR/DJI_202602101055_055_ses33rota1",29915484,"2026-02-24T13:18:36.000Z","false","Severity 4","7",-42.14976042259555,-11.41902841459958,10201,"Open Circuit","","",65,"String",29519053,"2026-02-24T13:18:36.000Z","POLYGON((0.5625 0.3016,0.5971 0.3016,0.5971 0.2003,0.5625 0.2003,0.5625 0.3016))","","","","0.5953124761581421,0.25,55.27","0.578125,0.298828125,63.34",60.61,8.1,2884,"Fordrones01",1721381,"2026-02-24T20:03:28.000Z","COMMENT","TRK-3.3.083 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49922?image=25669759","https://www.google.com/maps/search/?api=1&query=-11.41900769,-42.14979708"
25670259,"DJI_20260210113837_0101_T.JPG","2026-02-23T18:25:07.000Z","2026-02-10T14:38:37.000Z","2026:02:10 11:38:37",640,512,-42.15007547,-11.41902164,"SES33/IR/DJI_202602101055_055_ses33rota1",29915526,"2026-02-24T13:38:57.000Z","false","Severity 4","7",-42.1501079149954,-11.419031219400892,10201,"Open Circuit","","",65,"String",29519100,"2026-02-24T13:38:57.000Z","POLYGON((0.4953 0.8125,0.5417 0.8125,0.5417 0.6993,0.4953 0.6993,0.4953 0.8125))","","","","0.5375000238418579,0.751953125,51.41","0.49687498807907104,0.810546875,61.31",57.62,9.9,2884,"Fordrones01",1721380,"2026-02-24T20:01:14.000Z","COMMENT","TRK-3.3.078 NORTE E SUL","","","","https://app.scopito.com/en-US/inspection/49922?image=25670259","https://www.google.com/maps/search/?api=1&query=-11.41902164,-42.15007547"
25667589,"DJI_20260210115026_0024_T.JPG","2026-02-23T15:11:15.000Z","2026-02-10T14:50:26.000Z","2026:02:10 11:50:26",640,512,-42.15050992,-11.4174685,"SES33/IR/DJI_202602101055_056_ses33rota1",29915482,"2026-02-24T13:08:57.000Z","false","Severity 1","1",-42.15053920512244,-11.417487979008854,10547,"Hot Spot","","",70,"Cell",29519050,"2026-02-24T13:08:57.000Z","POLYGON((0.638 0.766,0.6577 0.766,0.6577 0.7365,0.638 0.7365,0.638 0.766))","","","","0.637499988079071,0.75,45.46","0.645312488079071,0.748046875,49.5",47.61,4,2884,"Fordrones01",1721379,"2026-02-24T19:59:46.000Z","COMMENT","TRK-3.3.013 NORTE MOD 31","","","","https://app.scopito.com/en-US/inspection/49922?image=25667589","https://www.google.com/maps/search/?api=1&query=-11.4174685,-42.15050992"
25668579,"DJI_20260210122846_0192_T.JPG","2026-02-23T16:49:46.000Z","2026-02-10T15:28:46.000Z","2026:02:10 12:28:46",640,512,-42.15384264,-11.41850525,"SES33/IR/DJI_202602101055_057_ses33rota1",29915404,"2026-02-24T11:04:32.000Z","false","Severity 2","3",-42.1537971688944,-11.41854151985602,10547,"Hot Spot","","",70,"Cell",29518956,"2026-02-24T11:04:24.000Z","POLYGON((0.7544 0.2695,0.782 0.2695,0.782 0.238,0.7544 0.238,0.7544 0.2695))","","","","0.7796875238418579,0.2578125,53.29","0.7796875238418579,0.25,62.12",57.51,8.8,2884,"Fordrones01",1721377,"2026-02-24T19:56:13.000Z","COMMENT","TRK-3.3.025 NORTE MOD 43","","","","https://app.scopito.com/en-US/inspection/49922?image=25668579","https://www.google.com/maps/search/?api=1&query=-11.41850525,-42.15384264"
25668772,"DJI_20260210124300_0081_T.JPG","2026-02-23T17:19:01.000Z","2026-02-10T15:43:00.000Z","2026:02:10 12:43:00",640,512,-42.14950936,-11.41997072,"SES33/IR/DJI_202602101055_058_ses33rota2",29915427,"2026-02-24T11:42:40.000Z","false","Severity 1","1",-42.149473247754074,-11.419918143889305,10216,"Multi Hot Spot","","",70,"Cell",29518982,"2026-02-24T11:42:40.000Z","POLYGON((0.2466 0.2725,0.2726 0.2725,0.2726 0.2282,0.2466 0.2282,0.2466 0.2725))","","","","0.24687500298023224,0.228515625,57.98","0.2640624940395355,0.259765625,62.62",60.84,4.6,2884,"Fordrones01",1721378,"2026-02-24T19:57:51.000Z","COMMENT","TRK-3.3.116 NORTE MOD 43","","","","https://app.scopito.com/en-US/inspection/49922?image=25668772","https://www.google.com/maps/search/?api=1&query=-11.41997072,-42.14950936"
